,mmsi,timestamp,lon,lat,knots,cog,heading,rot,ship_type,nav_status,length,width,maxspeed,aisid,is_anomaly,anomaly_name,anomaly_value,no_prototype_found,assessment
10391,249803000,2018-07-03 10:26:25,11.599735,57.596098,12.6,339.3,335.0,,Tanker,Under way using engine,,17.0,,221418,False,,,False,FP
10392,265509950,2018-07-03 10:26:29,11.79198,57.570165,1.6,285.0,290.0,,Passenger,Under way using engine,,8.0,,221425,False,,,False,TN
10393,265627630,2018-07-03 10:26:30,11.82167,57.624545,0.2,80.7,28.0,,Cargo,Unknown value,,10.0,,221427,False,,,False,TN
10394,236111757,2018-07-03 10:26:36,11.681133,57.59715,7.1,202.3,203.0,0.0,Tanker,Under way using engine,,8.0,,221436,False,,,False,TN
10395,265638160,2018-07-03 10:26:36,11.805597,57.614737,18.3,22.8,,,Cargo,Unknown value,,3.0,,221438,True,sog,0.0072860821492561,False,TP
10396,266247000,2018-07-03 10:26:40,11.848555,57.685413,0.9,154.3,105.0,,Cargo,Under way using engine,,26.0,,221446,False,,,False,TN
10397,265507770,2018-07-03 10:26:42,11.857978,57.643833,2.3,259.7,114.0,116.1,Passenger,Under way using engine,,8.0,,221448,False,,,False,TN
10398,265547240,2018-07-03 10:26:43,11.79844,57.608197,13.3,225.9,230.0,17.9,Passenger,Under way using engine,,6.0,,221451,False,,,False,TN
10399,219017582,2018-07-03 10:26:45,11.811015,57.55029,15.3,351.3,350.0,,Cargo,Under way using engine,,4.0,,221456,False,,,False,TN
10400,257983000,2018-07-03 10:26:52,11.679032,57.62737,9.7,214.7,214.0,0.0,Tanker,Under way using engine,,27.0,,221468,False,,,False,TN
10401,249803000,2018-07-03 10:26:53,11.598465,57.597562,12.3,330.9,322.0,,Tanker,Under way using engine,,17.0,,221470,False,,,False,TN
10402,265509950,2018-07-03 10:26:55,11.791912,57.570168,0.1,221.9,293.0,0.0,Passenger,Under way using engine,,8.0,,221473,False,,,False,TN
10403,265547240,2018-07-03 10:27:01,11.797052,57.607618,11.2,233.8,231.0,-7.5,Passenger,Under way using engine,,6.0,,221485,False,,,False,TN
10404,219017582,2018-07-03 10:27:04,11.810592,57.551605,15.2,349.8,348.0,0.0,Cargo,Under way using engine,,4.0,,221488,False,,,False,TN
10405,265638160,2018-07-03 10:27:05,11.807885,57.616792,17.3,28.2,,,Cargo,Unknown value,,3.0,,221491,False,,,False,TN
10406,249803000,2018-07-03 10:27:12,11.597357,57.598372,11.9,321.0,312.0,,Tanker,Under way using engine,,17.0,,221502,False,,,False,TN
10407,265547240,2018-07-03 10:27:13,11.796223,57.607203,9.9,219.5,210.0,-71.4,Passenger,Under way using engine,,6.0,,221503,False,,,False,TN
10408,219017582,2018-07-03 10:27:21,11.810025,57.552847,15.5,345.3,344.0,0.0,Cargo,Under way using engine,,4.0,,221516,False,,,False,TN
10409,265547240,2018-07-03 10:27:23,11.79582,57.606818,9.0,203.1,200.0,-61.1,Passenger,Under way using engine,,6.0,,221520,False,,,False,TN
10410,265507770,2018-07-03 10:27:29,11.856685,57.643685,6.0,255.9,262.0,57.9,Passenger,Under way using engine,,8.0,,221528,False,,,False,TN
10411,249803000,2018-07-03 10:27:32,11.5959,57.599122,11.8,311.8,309.0,0.0,Tanker,Under way using engine,,17.0,,221532,False,,,False,TN
10412,265638160,2018-07-03 10:27:36,11.80952,57.61912,17.5,14.2,,,Cargo,Unknown value,,3.0,,221540,False,,,False,TN
10413,265625300,2018-07-03 10:27:37,11.81073,57.646687,9.2,170.5,,,Passenger,Unknown value,,6.0,,221541,False,,,False,TN
10414,266225000,2018-07-03 10:27:39,11.682927,57.58646,0.1,207.9,298.0,0.0,Tanker,At anchor,,10.0,,221544,False,,,False,TN
10415,265547210,2018-07-03 10:27:43,11.82339,57.626058,0.3,74.7,92.0,8.7,Passenger,Under way using engine,,8.0,,221551,False,,,False,TN
10416,219017582,2018-07-03 10:27:45,11.809218,57.554418,15.2,346.5,348.0,,Cargo,Under way using engine,,4.0,,221554,False,,,False,TN
10417,266247000,2018-07-03 10:27:47,11.848408,57.68523,0.7,272.4,119.0,0.0,Cargo,Under way using engine,,26.0,,221556,False,,,False,TN
10418,265547230,2018-07-03 10:27:58,11.842658,57.661622,0.1,8.5,238.0,0.0,Passenger,Under way using engine,,8.0,,221573,False,,,False,TN
10419,265507770,2018-07-03 10:27:59,11.85484,57.643655,7.3,276.3,279.0,17.9,Passenger,Under way using engine,,8.0,,221575,False,,,False,TN
10420,265547240,2018-07-03 10:28:09,11.794578,57.605182,8.2,214.8,222.0,75.0,Passenger,Under way using engine,,6.0,,221585,False,,,False,TN
